label,activation,weight_init,layers,alpha,batch,acc
"g=Relu,w_init=Glorot,layers=784-512-512-10,alpha=0.10,batch=128",Relu,Glorot,784-512-512-10,0.1,128,0.9768
"g=Relu,w_init=Glorot,layers=784-784-256-10,alpha=0.10,batch=128",Relu,Glorot,784-784-256-10,0.1,128,0.9764
"g=Relu,w_init=Glorot,layers=784-512-256-10,alpha=0.10,batch=128",Relu,Glorot,784-512-256-10,0.1,128,0.9759
"g=Tanh,w_init=Glorot,layers=784-784-256-10,alpha=0.10,batch=128",Tanh,Glorot,784-784-256-10,0.1,128,0.9714
"g=Relu,w_init=Glorot,layers=784-784-256-10,alpha=0.10,batch=256",Relu,Glorot,784-784-256-10,0.1,256,0.9707
"g=Tanh,w_init=Glorot,layers=784-512-256-10,alpha=0.10,batch=128",Tanh,Glorot,784-512-256-10,0.1,128,0.9699
"g=Relu,w_init=Glorot,layers=784-512-256-10,alpha=0.10,batch=256",Relu,Glorot,784-512-256-10,0.1,256,0.969
"g=Tanh,w_init=Glorot,layers=784-512-512-10,alpha=0.10,batch=128",Tanh,Glorot,784-512-512-10,0.1,128,0.9689
"g=Relu,w_init=Glorot,layers=784-512-512-10,alpha=0.10,batch=256",Relu,Glorot,784-512-512-10,0.1,256,0.9681
"g=Tanh,w_init=Glorot,layers=784-784-256-10,alpha=0.10,batch=256",Tanh,Glorot,784-784-256-10,0.1,256,0.9607
"g=Tanh,w_init=Glorot,layers=784-512-256-10,alpha=0.10,batch=256",Tanh,Glorot,784-512-256-10,0.1,256,0.9585
"g=Tanh,w_init=Glorot,layers=784-512-512-10,alpha=0.10,batch=256",Tanh,Glorot,784-512-512-10,0.1,256,0.9552
"g=Relu,w_init=Glorot,layers=784-784-256-10,alpha=0.01,batch=128",Relu,Glorot,784-784-256-10,0.01,128,0.9392
"g=Relu,w_init=Glorot,layers=784-512-256-10,alpha=0.01,batch=128",Relu,Glorot,784-512-256-10,0.01,128,0.9375
"g=Relu,w_init=Glorot,layers=784-512-512-10,alpha=0.01,batch=128",Relu,Glorot,784-512-512-10,0.01,128,0.9369
"g=Tanh,w_init=Glorot,layers=784-512-256-10,alpha=0.01,batch=128",Tanh,Glorot,784-512-256-10,0.01,128,0.9271
"g=Tanh,w_init=Glorot,layers=784-784-256-10,alpha=0.01,batch=128",Tanh,Glorot,784-784-256-10,0.01,128,0.9255
"g=Tanh,w_init=Glorot,layers=784-512-512-10,alpha=0.01,batch=128",Tanh,Glorot,784-512-512-10,0.01,128,0.9251
"g=Relu,w_init=Glorot,layers=784-784-256-10,alpha=0.01,batch=256",Relu,Glorot,784-784-256-10,0.01,256,0.9228
"g=Relu,w_init=Glorot,layers=784-512-256-10,alpha=0.01,batch=256",Relu,Glorot,784-512-256-10,0.01,256,0.9227
"g=Relu,w_init=Glorot,layers=784-512-512-10,alpha=0.01,batch=256",Relu,Glorot,784-512-512-10,0.01,256,0.9218
"g=Sigmoid,w_init=Glorot,layers=784-512-256-10,alpha=0.10,batch=128",Sigmoid,Glorot,784-512-256-10,0.1,128,0.9197
"g=Sigmoid,w_init=Glorot,layers=784-784-256-10,alpha=0.10,batch=128",Sigmoid,Glorot,784-784-256-10,0.1,128,0.9187
"g=Sigmoid,w_init=Glorot,layers=784-512-512-10,alpha=0.10,batch=128",Sigmoid,Glorot,784-512-512-10,0.1,128,0.9182
"g=Tanh,w_init=Glorot,layers=784-784-256-10,alpha=0.01,batch=256",Tanh,Glorot,784-784-256-10,0.01,256,0.9165
"g=Tanh,w_init=Glorot,layers=784-512-512-10,alpha=0.01,batch=256",Tanh,Glorot,784-512-512-10,0.01,256,0.9165
"g=Tanh,w_init=Glorot,layers=784-512-256-10,alpha=0.01,batch=256",Tanh,Glorot,784-512-256-10,0.01,256,0.916
"g=Sigmoid,w_init=Glorot,layers=784-512-256-10,alpha=0.10,batch=256",Sigmoid,Glorot,784-512-256-10,0.1,256,0.9067
"g=Sigmoid,w_init=Glorot,layers=784-784-256-10,alpha=0.10,batch=256",Sigmoid,Glorot,784-784-256-10,0.1,256,0.9059
"g=Sigmoid,w_init=Glorot,layers=784-512-512-10,alpha=0.10,batch=256",Sigmoid,Glorot,784-512-512-10,0.1,256,0.9026
"g=Sigmoid,w_init=Glorot,layers=784-784-256-10,alpha=0.01,batch=128",Sigmoid,Glorot,784-784-256-10,0.01,128,0.8202
"g=Sigmoid,w_init=Glorot,layers=784-512-256-10,alpha=0.01,batch=128",Sigmoid,Glorot,784-512-256-10,0.01,128,0.8089
"g=Sigmoid,w_init=Glorot,layers=784-512-512-10,alpha=0.01,batch=128",Sigmoid,Glorot,784-512-512-10,0.01,128,0.7894
"g=Sigmoid,w_init=Glorot,layers=784-784-256-10,alpha=0.01,batch=256",Sigmoid,Glorot,784-784-256-10,0.01,256,0.6842
"g=Sigmoid,w_init=Glorot,layers=784-512-256-10,alpha=0.01,batch=256",Sigmoid,Glorot,784-512-256-10,0.01,256,0.6839
"g=Sigmoid,w_init=Glorot,layers=784-512-512-10,alpha=0.01,batch=256",Sigmoid,Glorot,784-512-512-10,0.01,256,0.6374
