epoch: 0	train ppl: 535.4061110555734	val ppl: 314.07004588466395	best val: 314.07004588466395	time (s) spent in epoch: 143.36544394493103
epoch: 1	train ppl: 299.4221220671808	val ppl: 227.18014722212558	best val: 227.18014722212558	time (s) spent in epoch: 143.96541786193848
epoch: 2	train ppl: 242.31079589819268	val ppl: 195.07116830174837	best val: 195.07116830174837	time (s) spent in epoch: 144.9010193347931
epoch: 3	train ppl: 209.40345148767491	val ppl: 176.67711997217515	best val: 176.67711997217515	time (s) spent in epoch: 144.59569716453552
epoch: 4	train ppl: 185.96732487814091	val ppl: 159.21922815740268	best val: 159.21922815740268	time (s) spent in epoch: 144.32804226875305
epoch: 5	train ppl: 168.10101633696166	val ppl: 157.4530790912317	best val: 157.4530790912317	time (s) spent in epoch: 145.37438678741455
epoch: 6	train ppl: 153.9911242616561	val ppl: 147.05286022816082	best val: 147.05286022816082	time (s) spent in epoch: 145.1506700515747
epoch: 7	train ppl: 142.86913312161607	val ppl: 136.75601387482462	best val: 136.75601387482462	time (s) spent in epoch: 144.48782300949097
epoch: 8	train ppl: 133.41929374046424	val ppl: 138.73702817111982	best val: 136.75601387482462	time (s) spent in epoch: 144.25910997390747
epoch: 9	train ppl: 125.20800551338684	val ppl: 130.41296419513031	best val: 130.41296419513031	time (s) spent in epoch: 145.40656900405884
epoch: 10	train ppl: 118.4374613400673	val ppl: 128.41725280813213	best val: 128.41725280813213	time (s) spent in epoch: 144.24858832359314
epoch: 11	train ppl: 112.44047012797789	val ppl: 123.66060531737932	best val: 123.66060531737932	time (s) spent in epoch: 144.6752736568451
epoch: 12	train ppl: 107.02114127795375	val ppl: 121.77897480323385	best val: 121.77897480323385	time (s) spent in epoch: 144.73015546798706
epoch: 13	train ppl: 102.13844617163552	val ppl: 119.00573981428998	best val: 119.00573981428998	time (s) spent in epoch: 145.70776295661926
epoch: 14	train ppl: 97.5971819954108	val ppl: 118.7620667525432	best val: 118.7620667525432	time (s) spent in epoch: 145.39663219451904
epoch: 15	train ppl: 93.65329490218696	val ppl: 118.5808543174125	best val: 118.5808543174125	time (s) spent in epoch: 145.4336657524109
epoch: 16	train ppl: 89.99521004993774	val ppl: 115.65266924825254	best val: 115.65266924825254	time (s) spent in epoch: 145.61886429786682
epoch: 17	train ppl: 86.53534060296101	val ppl: 116.00419200446268	best val: 115.65266924825254	time (s) spent in epoch: 145.83387422561646
epoch: 18	train ppl: 83.58018984870083	val ppl: 114.2274157960975	best val: 114.2274157960975	time (s) spent in epoch: 146.06723070144653
epoch: 19	train ppl: 80.55534913070088	val ppl: 114.23271175266761	best val: 114.2274157960975	time (s) spent in epoch: 145.68739223480225
epoch: 20	train ppl: 77.82716073323823	val ppl: 112.64093716377405	best val: 112.64093716377405	time (s) spent in epoch: 145.97168517112732
epoch: 21	train ppl: 75.36350113674928	val ppl: 114.96477815499595	best val: 112.64093716377405	time (s) spent in epoch: 146.06677389144897
epoch: 22	train ppl: 73.10945455572444	val ppl: 114.81515212758696	best val: 112.64093716377405	time (s) spent in epoch: 146.32689452171326
epoch: 23	train ppl: 71.02476854310187	val ppl: 113.6480684009723	best val: 112.64093716377405	time (s) spent in epoch: 146.42343640327454
epoch: 24	train ppl: 68.79054844821887	val ppl: 112.0627524476337	best val: 112.0627524476337	time (s) spent in epoch: 145.99481463432312
epoch: 25	train ppl: 67.16036563656337	val ppl: 114.110488540143	best val: 112.0627524476337	time (s) spent in epoch: 145.91169238090515
epoch: 26	train ppl: 65.3054463360884	val ppl: 114.66916917782346	best val: 112.0627524476337	time (s) spent in epoch: 145.0094757080078
epoch: 27	train ppl: 63.64687157694135	val ppl: 114.80666439540481	best val: 112.0627524476337	time (s) spent in epoch: 145.83441162109375
epoch: 28	train ppl: 62.153890514167195	val ppl: 115.45671625889327	best val: 112.0627524476337	time (s) spent in epoch: 145.20290970802307
epoch: 29	train ppl: 60.880055355565936	val ppl: 115.48667689065032	best val: 112.0627524476337	time (s) spent in epoch: 144.6542091369629
epoch: 30	train ppl: 59.426209081735784	val ppl: 117.6715501198925	best val: 112.0627524476337	time (s) spent in epoch: 145.57881140708923
epoch: 31	train ppl: 58.21049783677333	val ppl: 117.23085292794737	best val: 112.0627524476337	time (s) spent in epoch: 143.30893230438232
epoch: 32	train ppl: 56.999658962326215	val ppl: 116.37351075239067	best val: 112.0627524476337	time (s) spent in epoch: 144.34577870368958
epoch: 33	train ppl: 55.75963048163179	val ppl: 118.37576296152862	best val: 112.0627524476337	time (s) spent in epoch: 143.73560166358948
epoch: 34	train ppl: 54.82039884453387	val ppl: 115.95773714360416	best val: 112.0627524476337	time (s) spent in epoch: 145.76909494400024
epoch: 35	train ppl: 53.76659538169076	val ppl: 117.96984423327069	best val: 112.0627524476337	time (s) spent in epoch: 143.51989436149597
epoch: 36	train ppl: 52.74735537125803	val ppl: 118.23809557394239	best val: 112.0627524476337	time (s) spent in epoch: 143.5177869796753
epoch: 37	train ppl: 51.92578836902219	val ppl: 118.98723491445391	best val: 112.0627524476337	time (s) spent in epoch: 145.499826669693
epoch: 38	train ppl: 50.98773867913859	val ppl: 118.6122914279412	best val: 112.0627524476337	time (s) spent in epoch: 143.82854199409485
epoch: 39	train ppl: 50.32411737424	val ppl: 119.77593318053945	best val: 112.0627524476337	time (s) spent in epoch: 145.37763786315918
