epoch: 0	train ppl: 111525.28847991028	val ppl: 5975.572726201415	best val: 5975.572726201415	time (s) spent in epoch: 62.12737035751343
epoch: 1	train ppl: 6502.094992707797	val ppl: 2781.793469744955	best val: 2781.793469744955	time (s) spent in epoch: 61.75725197792053
epoch: 2	train ppl: 1456.9512891319434	val ppl: 1063.0896217466332	best val: 1063.0896217466332	time (s) spent in epoch: 61.76085901260376
epoch: 3	train ppl: 841.3352258649885	val ppl: 631.2612376133442	best val: 631.2612376133442	time (s) spent in epoch: 61.77277421951294
epoch: 4	train ppl: 617.6413948971349	val ppl: 511.80104231611733	best val: 511.80104231611733	time (s) spent in epoch: 61.76598238945007
epoch: 5	train ppl: 490.41926586606286	val ppl: 635.2372213562538	best val: 511.80104231611733	time (s) spent in epoch: 61.95320749282837
epoch: 6	train ppl: 396.1241451549175	val ppl: 357.90487280033335	best val: 357.90487280033335	time (s) spent in epoch: 61.86180567741394
epoch: 7	train ppl: 345.69717000660273	val ppl: 317.55383293456947	best val: 317.55383293456947	time (s) spent in epoch: 61.977787494659424
epoch: 8	train ppl: 306.7841669965608	val ppl: 323.2495773131966	best val: 317.55383293456947	time (s) spent in epoch: 61.897770166397095
epoch: 9	train ppl: 267.1389979340673	val ppl: 293.5971698635894	best val: 293.5971698635894	time (s) spent in epoch: 61.8204619884491
epoch: 10	train ppl: 240.4449480017646	val ppl: 242.7902859694971	best val: 242.7902859694971	time (s) spent in epoch: 61.83076071739197
epoch: 11	train ppl: 217.3964411710927	val ppl: 241.88098760270336	best val: 241.88098760270336	time (s) spent in epoch: 61.95205330848694
epoch: 12	train ppl: 193.2854421726022	val ppl: 225.30784871353	best val: 225.30784871353	time (s) spent in epoch: 62.19504642486572
epoch: 13	train ppl: 174.5659608081939	val ppl: 232.72975200537084	best val: 225.30784871353	time (s) spent in epoch: 61.520928621292114
epoch: 14	train ppl: 156.55651680102287	val ppl: 191.2107087355594	best val: 191.2107087355594	time (s) spent in epoch: 61.59938144683838
epoch: 15	train ppl: 144.17910435938995	val ppl: 212.1854228768365	best val: 191.2107087355594	time (s) spent in epoch: 61.408746004104614
epoch: 16	train ppl: 133.3642242278581	val ppl: 201.40742155956826	best val: 191.2107087355594	time (s) spent in epoch: 61.714728355407715
epoch: 17	train ppl: 122.66091953624696	val ppl: 185.43218048961756	best val: 185.43218048961756	time (s) spent in epoch: 61.94670915603638
epoch: 18	train ppl: 116.28214884373173	val ppl: 177.3864030900191	best val: 177.3864030900191	time (s) spent in epoch: 61.75820755958557
epoch: 19	train ppl: 106.96845322411289	val ppl: 194.18689287455274	best val: 177.3864030900191	time (s) spent in epoch: 61.53611421585083
epoch: 20	train ppl: 103.24333131718244	val ppl: 162.0322479395663	best val: 162.0322479395663	time (s) spent in epoch: 61.530038356781006
epoch: 21	train ppl: 95.60253238472187	val ppl: 188.93310860508376	best val: 162.0322479395663	time (s) spent in epoch: 61.76188039779663
epoch: 22	train ppl: 90.90528092821496	val ppl: 185.322830497943	best val: 162.0322479395663	time (s) spent in epoch: 61.54495096206665
epoch: 23	train ppl: 85.85326309640702	val ppl: 174.85702718390797	best val: 162.0322479395663	time (s) spent in epoch: 61.588359117507935
epoch: 24	train ppl: 79.57055877999646	val ppl: 161.5923023381279	best val: 161.5923023381279	time (s) spent in epoch: 61.70734906196594
epoch: 25	train ppl: 75.39227890953745	val ppl: 180.25718460711485	best val: 161.5923023381279	time (s) spent in epoch: 61.49567675590515
epoch: 26	train ppl: 70.82795814491561	val ppl: 177.81865839137006	best val: 161.5923023381279	time (s) spent in epoch: 61.692652225494385
epoch: 27	train ppl: 67.14132444121397	val ppl: 177.51515557446263	best val: 161.5923023381279	time (s) spent in epoch: 61.42429876327515
epoch: 28	train ppl: 62.92490941190598	val ppl: 185.448047203336	best val: 161.5923023381279	time (s) spent in epoch: 61.58056616783142
epoch: 29	train ppl: 59.21588256705904	val ppl: 177.1913318598815	best val: 161.5923023381279	time (s) spent in epoch: 61.527506589889526
epoch: 30	train ppl: 55.94841713548319	val ppl: 194.03377134014198	best val: 161.5923023381279	time (s) spent in epoch: 61.915663957595825
epoch: 31	train ppl: 53.01657866530745	val ppl: 177.4408944028092	best val: 161.5923023381279	time (s) spent in epoch: 61.47129416465759
epoch: 32	train ppl: 48.775086808541275	val ppl: 236.93088883416053	best val: 161.5923023381279	time (s) spent in epoch: 61.53570747375488
epoch: 33	train ppl: 48.00321771293995	val ppl: 202.18569311892	best val: 161.5923023381279	time (s) spent in epoch: 61.67934203147888
epoch: 34	train ppl: 45.0728931834746	val ppl: 200.5687512730535	best val: 161.5923023381279	time (s) spent in epoch: 61.45759081840515
epoch: 35	train ppl: 42.235489995033745	val ppl: 211.30216214468592	best val: 161.5923023381279	time (s) spent in epoch: 61.520742416381836
epoch: 36	train ppl: 39.12023210678866	val ppl: 220.5779817372185	best val: 161.5923023381279	time (s) spent in epoch: 61.215009689331055
epoch: 37	train ppl: 36.974512210361446	val ppl: 228.1232681139583	best val: 161.5923023381279	time (s) spent in epoch: 61.394505739212036
epoch: 38	train ppl: 35.44834219634885	val ppl: 244.6524763349829	best val: 161.5923023381279	time (s) spent in epoch: 61.23047924041748
epoch: 39	train ppl: 33.56268007718725	val ppl: 260.9839877077949	best val: 161.5923023381279	time (s) spent in epoch: 61.2929208278656
