epoch: 0	train ppl: 569.4795240224535	val ppl: 344.2910736803974	best val: 344.2910736803974	time (s) spent in epoch: 85.00216341018677
epoch: 1	train ppl: 343.19684414047975	val ppl: 272.5257856977839	best val: 272.5257856977839	time (s) spent in epoch: 84.98934984207153
epoch: 2	train ppl: 283.73224617701703	val ppl: 239.33983204026114	best val: 239.33983204026114	time (s) spent in epoch: 85.3264708518982
epoch: 3	train ppl: 249.38404918279198	val ppl: 219.98403956939427	best val: 219.98403956939427	time (s) spent in epoch: 85.08252024650574
epoch: 4	train ppl: 225.64934179665204	val ppl: 205.5077113996736	best val: 205.5077113996736	time (s) spent in epoch: 84.94182324409485
epoch: 5	train ppl: 207.89258603968028	val ppl: 193.65944682417305	best val: 193.65944682417305	time (s) spent in epoch: 84.80096077919006
epoch: 6	train ppl: 193.55964603570584	val ppl: 185.45534643702413	best val: 185.45534643702413	time (s) spent in epoch: 85.16193890571594
epoch: 7	train ppl: 181.3992781418839	val ppl: 178.66605537067758	best val: 178.66605537067758	time (s) spent in epoch: 85.16864895820618
epoch: 8	train ppl: 171.39922177992486	val ppl: 173.7232986495293	best val: 173.7232986495293	time (s) spent in epoch: 84.91983199119568
epoch: 9	train ppl: 162.73449846336027	val ppl: 170.06230262788415	best val: 170.06230262788415	time (s) spent in epoch: 85.38767147064209
epoch: 10	train ppl: 154.8764882733688	val ppl: 165.866329064325	best val: 165.866329064325	time (s) spent in epoch: 84.9464750289917
epoch: 11	train ppl: 148.42841397287043	val ppl: 165.69528649312906	best val: 165.69528649312906	time (s) spent in epoch: 85.03332901000977
epoch: 12	train ppl: 142.20840786664928	val ppl: 160.63432140830136	best val: 160.63432140830136	time (s) spent in epoch: 85.0503580570221
epoch: 13	train ppl: 136.88637408788338	val ppl: 159.86732008553653	best val: 159.86732008553653	time (s) spent in epoch: 85.38995385169983
epoch: 14	train ppl: 131.58557882713936	val ppl: 159.19458879060312	best val: 159.19458879060312	time (s) spent in epoch: 85.19272804260254
epoch: 15	train ppl: 127.33167289048673	val ppl: 158.04302130209408	best val: 158.04302130209408	time (s) spent in epoch: 85.61234736442566
epoch: 16	train ppl: 122.88264738123881	val ppl: 154.88041973231475	best val: 154.88041973231475	time (s) spent in epoch: 84.7107720375061
epoch: 17	train ppl: 118.87387732301447	val ppl: 154.3313064897527	best val: 154.3313064897527	time (s) spent in epoch: 85.55385994911194
epoch: 18	train ppl: 115.32130335367789	val ppl: 154.03379717107933	best val: 154.03379717107933	time (s) spent in epoch: 85.86275815963745
epoch: 19	train ppl: 111.89247020316913	val ppl: 154.9322927340908	best val: 154.03379717107933	time (s) spent in epoch: 84.57452130317688
epoch: 20	train ppl: 108.58739286161457	val ppl: 151.47389897020477	best val: 151.47389897020477	time (s) spent in epoch: 84.88571739196777
epoch: 21	train ppl: 105.61555227987964	val ppl: 152.56017976503995	best val: 151.47389897020477	time (s) spent in epoch: 84.62953495979309
epoch: 22	train ppl: 103.01373508671861	val ppl: 151.94415732690646	best val: 151.47389897020477	time (s) spent in epoch: 84.28974771499634
epoch: 23	train ppl: 99.94869000146525	val ppl: 152.51538497565252	best val: 151.47389897020477	time (s) spent in epoch: 84.47930765151978
epoch: 24	train ppl: 97.54768867761771	val ppl: 152.17295054725048	best val: 151.47389897020477	time (s) spent in epoch: 85.19630265235901
epoch: 25	train ppl: 95.20492395017547	val ppl: 153.34350896509872	best val: 151.47389897020477	time (s) spent in epoch: 84.56298041343689
epoch: 26	train ppl: 92.94446214563298	val ppl: 152.86334517445488	best val: 151.47389897020477	time (s) spent in epoch: 84.73668837547302
epoch: 27	train ppl: 90.87342556304966	val ppl: 152.37790183515176	best val: 151.47389897020477	time (s) spent in epoch: 84.91561484336853
epoch: 28	train ppl: 88.62408827640844	val ppl: 153.575502861282	best val: 151.47389897020477	time (s) spent in epoch: 84.9558048248291
epoch: 29	train ppl: 86.62858564730637	val ppl: 154.03249398080175	best val: 151.47389897020477	time (s) spent in epoch: 84.6577136516571
epoch: 30	train ppl: 84.62744470759922	val ppl: 154.61886873642914	best val: 151.47389897020477	time (s) spent in epoch: 84.87882709503174
epoch: 31	train ppl: 82.7812188994406	val ppl: 154.3125048093257	best val: 151.47389897020477	time (s) spent in epoch: 85.1553692817688
epoch: 32	train ppl: 81.22867049611327	val ppl: 156.43899327087755	best val: 151.47389897020477	time (s) spent in epoch: 84.97093391418457
epoch: 33	train ppl: 79.46782956863613	val ppl: 156.72094328156518	best val: 151.47389897020477	time (s) spent in epoch: 84.79927635192871
epoch: 34	train ppl: 77.94650141446382	val ppl: 158.24044765957228	best val: 151.47389897020477	time (s) spent in epoch: 84.66064286231995
epoch: 35	train ppl: 76.42923645703725	val ppl: 159.48105762276091	best val: 151.47389897020477	time (s) spent in epoch: 85.29280471801758
epoch: 36	train ppl: 74.79883514390175	val ppl: 160.82652479032424	best val: 151.47389897020477	time (s) spent in epoch: 84.93946099281311
epoch: 37	train ppl: 73.43044117713026	val ppl: 163.37293396757647	best val: 151.47389897020477	time (s) spent in epoch: 85.06752276420593
epoch: 38	train ppl: 72.03109016942554	val ppl: 162.60413913806707	best val: 151.47389897020477	time (s) spent in epoch: 84.96968507766724
epoch: 39	train ppl: 70.86087497734708	val ppl: 165.43592111336616	best val: 151.47389897020477	time (s) spent in epoch: 85.40717244148254
