epoch: 0	train ppl: 455.4567308786623	val ppl: 289.0052727763311	best val: 289.0052727763311	time (s) spent in epoch: 92.53442978858948
epoch: 1	train ppl: 259.0866244406811	val ppl: 209.34131334535863	best val: 209.34131334535863	time (s) spent in epoch: 92.47288537025452
epoch: 2	train ppl: 209.55456007652407	val ppl: 176.1155616989913	best val: 176.1155616989913	time (s) spent in epoch: 92.38114261627197
epoch: 3	train ppl: 180.86807348987043	val ppl: 155.98348374990204	best val: 155.98348374990204	time (s) spent in epoch: 92.08521389961243
epoch: 4	train ppl: 160.7839814520662	val ppl: 144.3435235151871	best val: 144.3435235151871	time (s) spent in epoch: 91.63639092445374
epoch: 5	train ppl: 145.7974826077305	val ppl: 137.33580180435868	best val: 137.33580180435868	time (s) spent in epoch: 93.21700739860535
epoch: 6	train ppl: 133.73896604985316	val ppl: 131.54516092207126	best val: 131.54516092207126	time (s) spent in epoch: 91.97319006919861
epoch: 7	train ppl: 123.99593287861116	val ppl: 124.33027581848538	best val: 124.33027581848538	time (s) spent in epoch: 92.29637598991394
epoch: 8	train ppl: 115.96558013006474	val ppl: 119.25704093746755	best val: 119.25704093746755	time (s) spent in epoch: 92.22101902961731
epoch: 9	train ppl: 109.48577299277943	val ppl: 117.01374844466791	best val: 117.01374844466791	time (s) spent in epoch: 91.91455030441284
epoch: 10	train ppl: 103.59105243598954	val ppl: 113.87662942235784	best val: 113.87662942235784	time (s) spent in epoch: 92.1260027885437
epoch: 11	train ppl: 98.29585577077005	val ppl: 111.1606584150542	best val: 111.1606584150542	time (s) spent in epoch: 91.90485215187073
epoch: 12	train ppl: 93.93042723165826	val ppl: 111.45643742886436	best val: 111.1606584150542	time (s) spent in epoch: 91.79399394989014
epoch: 13	train ppl: 89.7783398255831	val ppl: 108.28205906704538	best val: 108.28205906704538	time (s) spent in epoch: 91.75633525848389
epoch: 14	train ppl: 86.17978678430447	val ppl: 107.75101450260526	best val: 107.75101450260526	time (s) spent in epoch: 91.8559901714325
epoch: 15	train ppl: 82.55366777801633	val ppl: 106.70183780644932	best val: 106.70183780644932	time (s) spent in epoch: 92.252032995224
epoch: 16	train ppl: 79.67951044416824	val ppl: 104.93625292377271	best val: 104.93625292377271	time (s) spent in epoch: 91.85454869270325
epoch: 17	train ppl: 76.90436116635072	val ppl: 105.16115101462523	best val: 104.93625292377271	time (s) spent in epoch: 91.9589958190918
epoch: 18	train ppl: 74.55349131081674	val ppl: 104.64190511360313	best val: 104.64190511360313	time (s) spent in epoch: 92.09423446655273
epoch: 19	train ppl: 72.21888852929693	val ppl: 104.1013917523373	best val: 104.1013917523373	time (s) spent in epoch: 92.24780774116516
epoch: 20	train ppl: 69.91231075395157	val ppl: 104.35838178380534	best val: 104.1013917523373	time (s) spent in epoch: 91.8725757598877
epoch: 21	train ppl: 68.0415125914211	val ppl: 103.32092034506024	best val: 103.32092034506024	time (s) spent in epoch: 91.54202485084534
epoch: 22	train ppl: 66.2408670090166	val ppl: 103.75098749073042	best val: 103.32092034506024	time (s) spent in epoch: 91.78980827331543
epoch: 23	train ppl: 64.43527748291353	val ppl: 103.43934358797499	best val: 103.32092034506024	time (s) spent in epoch: 91.71377444267273
epoch: 24	train ppl: 62.75691711669917	val ppl: 104.64048471774473	best val: 103.32092034506024	time (s) spent in epoch: 91.95795774459839
epoch: 25	train ppl: 61.28353460810433	val ppl: 103.76618320383221	best val: 103.32092034506024	time (s) spent in epoch: 91.41159653663635
epoch: 26	train ppl: 59.854183483432564	val ppl: 103.83202322313157	best val: 103.32092034506024	time (s) spent in epoch: 91.3781054019928
epoch: 27	train ppl: 58.65960931561659	val ppl: 104.69360942830453	best val: 103.32092034506024	time (s) spent in epoch: 91.66696739196777
epoch: 28	train ppl: 57.516682194391585	val ppl: 105.72796819170635	best val: 103.32092034506024	time (s) spent in epoch: 91.84347820281982
epoch: 29	train ppl: 56.29071072141438	val ppl: 105.81172173637036	best val: 103.32092034506024	time (s) spent in epoch: 90.93847584724426
epoch: 30	train ppl: 55.383026599240445	val ppl: 104.59308287993537	best val: 103.32092034506024	time (s) spent in epoch: 92.10078382492065
epoch: 31	train ppl: 54.256197590838724	val ppl: 104.97074253242043	best val: 103.32092034506024	time (s) spent in epoch: 90.8129358291626
epoch: 32	train ppl: 53.37924754433628	val ppl: 105.93275860035804	best val: 103.32092034506024	time (s) spent in epoch: 91.09744930267334
epoch: 33	train ppl: 52.68914058290067	val ppl: 106.39036912650413	best val: 103.32092034506024	time (s) spent in epoch: 91.01696038246155
epoch: 34	train ppl: 51.82667028830887	val ppl: 107.06804492127547	best val: 103.32092034506024	time (s) spent in epoch: 91.17283582687378
epoch: 35	train ppl: 50.8846875726896	val ppl: 107.30264049100461	best val: 103.32092034506024	time (s) spent in epoch: 91.77033972740173
epoch: 36	train ppl: 50.36090851408922	val ppl: 107.34228383157168	best val: 103.32092034506024	time (s) spent in epoch: 91.31916236877441
epoch: 37	train ppl: 49.577706655783025	val ppl: 108.64015368945473	best val: 103.32092034506024	time (s) spent in epoch: 90.96596145629883
epoch: 38	train ppl: 48.853671247779886	val ppl: 108.06201646441413	best val: 103.32092034506024	time (s) spent in epoch: 90.76963090896606
epoch: 39	train ppl: 48.17548185150622	val ppl: 109.51773725915513	best val: 103.32092034506024	time (s) spent in epoch: 91.3320152759552
