epoch: 0	train ppl: 19986.899372324315	val ppl: 1183.5725265839003	best val: 1183.5725265839003	time (s) spent in epoch: 96.66165089607239
epoch: 1	train ppl: 800.6321611342361	val ppl: 664.5142313549312	best val: 664.5142313549312	time (s) spent in epoch: 97.20596885681152
epoch: 2	train ppl: 459.45013857007893	val ppl: 381.63207103383365	best val: 381.63207103383365	time (s) spent in epoch: 97.33865666389465
epoch: 3	train ppl: 346.94010949720996	val ppl: 343.5799316150163	best val: 343.5799316150163	time (s) spent in epoch: 96.33523774147034
epoch: 4	train ppl: 275.1235084356645	val ppl: 279.3055939652946	best val: 279.3055939652946	time (s) spent in epoch: 97.00382280349731
epoch: 5	train ppl: 220.53777354091372	val ppl: 250.25741656235283	best val: 250.25741656235283	time (s) spent in epoch: 97.01590347290039
epoch: 6	train ppl: 181.68480409033822	val ppl: 201.23157676606738	best val: 201.23157676606738	time (s) spent in epoch: 96.82596158981323
epoch: 7	train ppl: 155.97657665026293	val ppl: 186.4383817206847	best val: 186.4383817206847	time (s) spent in epoch: 96.77224493026733
epoch: 8	train ppl: 138.1316122345546	val ppl: 176.2064800274783	best val: 176.2064800274783	time (s) spent in epoch: 98.01108360290527
epoch: 9	train ppl: 122.45196137566795	val ppl: 163.8336219449437	best val: 163.8336219449437	time (s) spent in epoch: 97.40862989425659
epoch: 10	train ppl: 111.31264613266771	val ppl: 174.52789913104317	best val: 163.8336219449437	time (s) spent in epoch: 96.54409193992615
epoch: 11	train ppl: 99.58173506923089	val ppl: 164.60219097256305	best val: 163.8336219449437	time (s) spent in epoch: 96.81116151809692
epoch: 12	train ppl: 89.96595199706785	val ppl: 169.6324159888004	best val: 163.8336219449437	time (s) spent in epoch: 96.8658835887909
epoch: 13	train ppl: 80.55999340198885	val ppl: 155.3321680463948	best val: 155.3321680463948	time (s) spent in epoch: 97.66352272033691
epoch: 14	train ppl: 73.10186853327309	val ppl: 185.38104983413436	best val: 155.3321680463948	time (s) spent in epoch: 96.38159966468811
epoch: 15	train ppl: 57.161973134416456	val ppl: 180.15798417340707	best val: 155.3321680463948	time (s) spent in epoch: 97.18592286109924
epoch: 16	train ppl: 44.17898037714994	val ppl: 169.70596583097128	best val: 155.3321680463948	time (s) spent in epoch: 97.31244730949402
epoch: 17	train ppl: 34.69591647884355	val ppl: 182.1668922407345	best val: 155.3321680463948	time (s) spent in epoch: 96.38576364517212
epoch: 18	train ppl: 28.809543961559402	val ppl: 197.61447445739728	best val: 155.3321680463948	time (s) spent in epoch: 96.7303102016449
epoch: 19	train ppl: 25.379761703150788	val ppl: 206.6925448913876	best val: 155.3321680463948	time (s) spent in epoch: 96.41910481452942
epoch: 20	train ppl: 23.538755118837656	val ppl: 209.24465711516388	best val: 155.3321680463948	time (s) spent in epoch: 97.11818718910217
epoch: 21	train ppl: 22.6632365488173	val ppl: 207.42752249103137	best val: 155.3321680463948	time (s) spent in epoch: 96.77388143539429
epoch: 22	train ppl: 22.23840566988309	val ppl: 204.24128858047774	best val: 155.3321680463948	time (s) spent in epoch: 96.89407968521118
epoch: 23	train ppl: 22.133488745127973	val ppl: 202.6554456763285	best val: 155.3321680463948	time (s) spent in epoch: 96.36846804618835
epoch: 24	train ppl: 22.07372125453944	val ppl: 202.27362578560684	best val: 155.3321680463948	time (s) spent in epoch: 96.54191589355469
epoch: 25	train ppl: 22.030045901774486	val ppl: 202.188702930125	best val: 155.3321680463948	time (s) spent in epoch: 97.49848008155823
epoch: 26	train ppl: 22.066048265317985	val ppl: 202.17370553672237	best val: 155.3321680463948	time (s) spent in epoch: 97.43906855583191
epoch: 27	train ppl: 22.048421246271964	val ppl: 202.1717352908969	best val: 155.3321680463948	time (s) spent in epoch: 96.75250840187073
epoch: 28	train ppl: 22.022964228958053	val ppl: 202.17154851017895	best val: 155.3321680463948	time (s) spent in epoch: 96.89749503135681
epoch: 29	train ppl: 22.04430546568514	val ppl: 202.17153947240664	best val: 155.3321680463948	time (s) spent in epoch: 97.06808948516846
epoch: 30	train ppl: 22.062882845615636	val ppl: 202.17155754795164	best val: 155.3321680463948	time (s) spent in epoch: 97.01785922050476
epoch: 31	train ppl: 22.061749720651985	val ppl: 202.17155754795164	best val: 155.3321680463948	time (s) spent in epoch: 96.60895586013794
epoch: 32	train ppl: 22.04710954758691	val ppl: 202.17155754795164	best val: 155.3321680463948	time (s) spent in epoch: 96.87215805053711
epoch: 33	train ppl: 22.053049173075895	val ppl: 202.17155754795164	best val: 155.3321680463948	time (s) spent in epoch: 96.03096199035645
epoch: 34	train ppl: 22.055169448538553	val ppl: 202.17155754795164	best val: 155.3321680463948	time (s) spent in epoch: 96.0401337146759
epoch: 35	train ppl: 22.040584109285362	val ppl: 202.17155754795164	best val: 155.3321680463948	time (s) spent in epoch: 95.58333683013916
epoch: 36	train ppl: 22.067829081783465	val ppl: 202.17155754795164	best val: 155.3321680463948	time (s) spent in epoch: 95.9326868057251
epoch: 37	train ppl: 22.04982740912089	val ppl: 202.17155754795164	best val: 155.3321680463948	time (s) spent in epoch: 95.8712568283081
epoch: 38	train ppl: 22.045569261171025	val ppl: 202.17155754795164	best val: 155.3321680463948	time (s) spent in epoch: 96.86507844924927
epoch: 39	train ppl: 22.048996360356156	val ppl: 202.17155754795164	best val: 155.3321680463948	time (s) spent in epoch: 96.23288750648499
