model,optimizer,initial_lr,batch_size,seq_len,hidden_size,num_layers,dp_keep_prob,avg_wct,train_val,val_ppl,section
GRU,ADAM,0.0001,20,35,1500,2,0.35,155.59,73.86,111.49,4_2
GRU,SGD,10,20,35,1500,1,0.35,91.78,68.04,103.32,4_3 (-layers + SGD)
GRU,SGD,10,20,35,1500,2,0.35,145.03,68.79,112.06,4_2
GRU,SGD_LR_SCHEDULE,10,20,35,1500,1,0.35,106.58,59.18,95.02,4_3 (-layers)
GRU,SGD_LR_SCHEDULE,10,20,35,1500,2,0.35,148.09,65.72,102.38,4_1
GRU,SGD_LR_SCHEDULE,10,20,35,1000,2,0.35,113.17,76.51,102.88,4_3 (-hidden_size)
GRU,SGD_LR_SCHEDULE,10,20,20,1500,2,0.35,145.94,66.94,103.3,4_3 (-seq_len)
GRU,SGD_LR_SCHEDULE,10,20,50,1500,2,0.35,147.24,67.91,103.4,4_3 (+seq_len)
GRU,SGD_LR_SCHEDULE,10,20,35,2000,2,0.35,192.55,59.66,104.17,4_3 (+hidden_size)
GRU,SGD_LR_SCHEDULE,10,50,35,1500,2,0.35,73.42,76.32,106.05,4_3 (+batch_size)
GRU,SGD_LR_SCHEDULE,10,20,35,1500,3,0.35,200.54,75.79,112.19,4_3 (+layers)
GRU,SGD_LR_SCHEDULE,10,20,35,1500,2,0.5,146.49,30.58,117.78,4_3 (-dropout)
RNN,ADAM,0.0001,40,35,1500,2,0.35,53.83,131.71,149.45,4_3 (+seq_len)
RNN,ADAM,0.0001,20,35,1500,2,0.5,85.0,108.59,151.47,4_3 (-dropout)
RNN,ADAM,0.0001,20,35,1500,1,0.35,66.97,114.07,152.8,4_3 (-layers)
RNN,ADAM,0.0001,20,50,1500,2,0.35,85.7,126.13,155.0,4_3 (+seq_len)
RNN,ADAM,0.0001,20,35,1500,2,0.35,84.58,121.74,156.41,4_1
RNN,ADAM,0.0001,20,35,1000,2,0.35,65.99,132.55,156.41,4_3 (-hidden_size)
RNN,ADAM,0.0001,20,35,2000,2,0.35,112.36,114.78,158.22,4_3 (+hidden_size)
RNN,ADAM,0.0001,20,20,1500,2,0.35,88.13,125.75,162.14,4_3 (-seq_len)
RNN,ADAM,0.0001,20,35,1500,3,0.35,102.8,136.45,166.93,4_3 (+layers)
RNN,SGD,1,20,35,1500,2,0.35,80.79,185.17,170.55,4_3 (SGD)
RNN,SGD,0.0001,20,35,1500,2,0.35,80.68,3008.12,2209.92,4_2
RNN,SGD_LR_SCHEDULE,1,20,35,512,2,0.35,48.62,230.78,196.19,4_2
TRANSFORMER,ADAM,0.001,128,35,512,2,.9,30.13,69.57,136.22,4_2
TRANSFORMER,SGD,20,128,35,512,6,.9,61.67,79.57,161.59,4_2
TRANSFORMER,SGD,20,128,35,256,6,0.9,54.22,59.66,173.39,4_3 (hidden_size + SGD)
TRANSFORMER,SGD_LR_SCHEDULE,20,128,35,256,6,0.9,52.4,81.5,139.71,4_3  (hidden_size)
TRANSFORMER,SGD_LR_SCHEDULE,20,128,35,512,6,0.7,54.12,80.8,141.59,4_3 (-dropout)
TRANSFORMER,SGD_LR_SCHEDULE,20,128,35,512,8,0.9,69.18,55.43,144.19,4_3 (+layers)
TRANSFORMER,SGD_LR_SCHEDULE,20,128,35,512,6,0.9,62.34,65.83,145.42,4_1
TRANSFORMER,SGD_LR_SCHEDULE,20,128,35,1024,6,0.9,90.51,71.23,151.0,4_3 (hidden_size)
TRANSFORMER,SGD_LR_SCHEDULE,20,128,35,512,4,0.9,37.74,68.22,151.85,4_3 (-layers)
TRANSFORMER,SGD_LR_SCHEDULE,20,64,35,512,6,0.9,96.78,80.56,155.33,4_3 (batch_size)
TRANSFORMER,SGD_LR_SCHEDULE,20,128,20,512,6,0.9,88.84,55.93,163.49,4_3 (-seq_len)
TRANSFORMER,SGD_LR_SCHEDULE,20,128,50,512,6,0.9,49.8,110.14,175.0,4_3 (+seq_len)
,,,,,,,,,,,
