epoch: 0	train ppl: 352.73223771031525	val ppl: 192.2982931269904	best val: 192.2982931269904	time (s) spent in epoch: 30.45383381843567
epoch: 1	train ppl: 139.98701068274903	val ppl: 147.83417653583658	best val: 147.83417653583658	time (s) spent in epoch: 30.176408052444458
epoch: 2	train ppl: 93.63358027593286	val ppl: 137.27863420667103	best val: 137.27863420667103	time (s) spent in epoch: 30.19540762901306
epoch: 3	train ppl: 69.57183850414803	val ppl: 136.21559664157434	best val: 136.21559664157434	time (s) spent in epoch: 30.106455326080322
epoch: 4	train ppl: 54.067785145926536	val ppl: 143.07451161638195	best val: 136.21559664157434	time (s) spent in epoch: 30.201992750167847
epoch: 5	train ppl: 42.92574191411145	val ppl: 155.26882029447222	best val: 136.21559664157434	time (s) spent in epoch: 30.154553174972534
epoch: 6	train ppl: 34.61313281792674	val ppl: 173.54389634750788	best val: 136.21559664157434	time (s) spent in epoch: 30.20419192314148
epoch: 7	train ppl: 28.252160843648703	val ppl: 197.63048830399077	best val: 136.21559664157434	time (s) spent in epoch: 30.338553190231323
epoch: 8	train ppl: 23.44170042331324	val ppl: 223.19261858644063	best val: 136.21559664157434	time (s) spent in epoch: 30.115917682647705
epoch: 9	train ppl: 19.752805745769813	val ppl: 256.28097310369634	best val: 136.21559664157434	time (s) spent in epoch: 29.894272089004517
epoch: 10	train ppl: 16.858794761734167	val ppl: 294.26049378499465	best val: 136.21559664157434	time (s) spent in epoch: 30.09955668449402
epoch: 11	train ppl: 14.586256492381981	val ppl: 335.7153759176918	best val: 136.21559664157434	time (s) spent in epoch: 29.89577341079712
epoch: 12	train ppl: 12.856634348800943	val ppl: 383.36061491150093	best val: 136.21559664157434	time (s) spent in epoch: 29.91248369216919
epoch: 13	train ppl: 11.414131821587436	val ppl: 436.98856594476933	best val: 136.21559664157434	time (s) spent in epoch: 30.08243489265442
epoch: 14	train ppl: 10.292485276891606	val ppl: 489.5651878055803	best val: 136.21559664157434	time (s) spent in epoch: 30.154948472976685
epoch: 15	train ppl: 9.322656407824958	val ppl: 553.2732246360114	best val: 136.21559664157434	time (s) spent in epoch: 29.9924156665802
epoch: 16	train ppl: 8.540431165922197	val ppl: 618.2223442805464	best val: 136.21559664157434	time (s) spent in epoch: 29.997501134872437
epoch: 17	train ppl: 7.893320611130824	val ppl: 697.4736244368523	best val: 136.21559664157434	time (s) spent in epoch: 30.216434478759766
epoch: 18	train ppl: 7.344246390088001	val ppl: 777.3593160818571	best val: 136.21559664157434	time (s) spent in epoch: 30.152509689331055
epoch: 19	train ppl: 6.8730344177493174	val ppl: 864.5885263614781	best val: 136.21559664157434	time (s) spent in epoch: 30.26089572906494
epoch: 20	train ppl: 6.474972469410874	val ppl: 960.3348855717886	best val: 136.21559664157434	time (s) spent in epoch: 30.257185220718384
epoch: 21	train ppl: 6.098635575706346	val ppl: 1071.9459987817397	best val: 136.21559664157434	time (s) spent in epoch: 30.34350085258484
epoch: 22	train ppl: 5.793218068458666	val ppl: 1160.5013228474202	best val: 136.21559664157434	time (s) spent in epoch: 30.02891755104065
epoch: 23	train ppl: 5.517605749502872	val ppl: 1273.09423922232	best val: 136.21559664157434	time (s) spent in epoch: 29.973264455795288
epoch: 24	train ppl: 5.278226978220809	val ppl: 1386.6813344817065	best val: 136.21559664157434	time (s) spent in epoch: 30.023670434951782
epoch: 25	train ppl: 5.061611519077101	val ppl: 1496.8546045585954	best val: 136.21559664157434	time (s) spent in epoch: 30.030255556106567
epoch: 26	train ppl: 4.870712926397114	val ppl: 1624.1866597135158	best val: 136.21559664157434	time (s) spent in epoch: 30.046953678131104
epoch: 27	train ppl: 4.703956983465682	val ppl: 1763.1282106492624	best val: 136.21559664157434	time (s) spent in epoch: 30.08138394355774
epoch: 28	train ppl: 4.544942829594444	val ppl: 1941.487129702915	best val: 136.21559664157434	time (s) spent in epoch: 30.18400502204895
epoch: 29	train ppl: 4.394015725045553	val ppl: 2068.87820684569	best val: 136.21559664157434	time (s) spent in epoch: 30.25797700881958
epoch: 30	train ppl: 4.266215409233227	val ppl: 2249.451047087803	best val: 136.21559664157434	time (s) spent in epoch: 29.840550184249878
epoch: 31	train ppl: 4.141287959501869	val ppl: 2372.7888219283104	best val: 136.21559664157434	time (s) spent in epoch: 30.152531147003174
epoch: 32	train ppl: 4.026898028361646	val ppl: 2540.664862086171	best val: 136.21559664157434	time (s) spent in epoch: 30.199841737747192
epoch: 33	train ppl: 3.940338949661074	val ppl: 2749.664262940229	best val: 136.21559664157434	time (s) spent in epoch: 30.002480506896973
epoch: 34	train ppl: 3.828149862678304	val ppl: 2941.4342540308426	best val: 136.21559664157434	time (s) spent in epoch: 30.091118335723877
epoch: 35	train ppl: 3.742127342895116	val ppl: 3106.6766118561404	best val: 136.21559664157434	time (s) spent in epoch: 30.078182220458984
epoch: 36	train ppl: 3.673720267632129	val ppl: 3271.307136866783	best val: 136.21559664157434	time (s) spent in epoch: 30.406141996383667
epoch: 37	train ppl: 3.593539307677549	val ppl: 3517.993914266944	best val: 136.21559664157434	time (s) spent in epoch: 30.193891048431396
epoch: 38	train ppl: 3.5232421564949497	val ppl: 3740.4825185693976	best val: 136.21559664157434	time (s) spent in epoch: 30.166762590408325
epoch: 39	train ppl: 3.4559280361264473	val ppl: 4064.951619657501	best val: 136.21559664157434	time (s) spent in epoch: 30.275145769119263
