epoch: 0	train ppl: 20777.68466195158	val ppl: 3692.698015701694	best val: 3692.698015701694	time (s) spent in epoch: 52.74027967453003
epoch: 1	train ppl: 2967.405058447684	val ppl: 1194.6528572654263	best val: 1194.6528572654263	time (s) spent in epoch: 51.90605354309082
epoch: 2	train ppl: 1444.6257697205833	val ppl: 707.4841633058644	best val: 707.4841633058644	time (s) spent in epoch: 51.64097571372986
epoch: 3	train ppl: 694.9105598374966	val ppl: 494.0713608512653	best val: 494.0713608512653	time (s) spent in epoch: 52.09729218482971
epoch: 4	train ppl: 594.5741133563185	val ppl: 557.3785495663678	best val: 494.0713608512653	time (s) spent in epoch: 51.940892934799194
epoch: 5	train ppl: 536.4797835171521	val ppl: 479.972892488298	best val: 479.972892488298	time (s) spent in epoch: 52.285178899765015
epoch: 6	train ppl: 522.9715661965305	val ppl: 503.5490912563653	best val: 479.972892488298	time (s) spent in epoch: 51.85446500778198
epoch: 7	train ppl: 510.34966298005685	val ppl: 398.38613413231263	best val: 398.38613413231263	time (s) spent in epoch: 52.250818729400635
epoch: 8	train ppl: 480.4670031177014	val ppl: 424.0430683048758	best val: 398.38613413231263	time (s) spent in epoch: 52.83320450782776
epoch: 9	train ppl: 426.0476369029005	val ppl: 377.39385452303924	best val: 377.39385452303924	time (s) spent in epoch: 53.02946424484253
epoch: 10	train ppl: 397.9162348813922	val ppl: 394.2607236740629	best val: 377.39385452303924	time (s) spent in epoch: 52.99781346321106
epoch: 11	train ppl: 344.6184471446093	val ppl: 351.0843666112816	best val: 351.0843666112816	time (s) spent in epoch: 54.6340811252594
epoch: 12	train ppl: 308.73815992548924	val ppl: 272.6347177504808	best val: 272.6347177504808	time (s) spent in epoch: 54.30557560920715
epoch: 13	train ppl: 282.57390088831926	val ppl: 363.45579796370515	best val: 272.6347177504808	time (s) spent in epoch: 54.66856384277344
epoch: 14	train ppl: 256.9145313707281	val ppl: 279.25133121004626	best val: 272.6347177504808	time (s) spent in epoch: 54.91124486923218
epoch: 15	train ppl: 233.6878893841188	val ppl: 245.2499539577279	best val: 245.2499539577279	time (s) spent in epoch: 55.515050411224365
epoch: 16	train ppl: 210.20255711888606	val ppl: 226.52040342465764	best val: 226.52040342465764	time (s) spent in epoch: 55.09197449684143
epoch: 17	train ppl: 196.40215819080905	val ppl: 219.16081249111008	best val: 219.16081249111008	time (s) spent in epoch: 54.892359256744385
epoch: 18	train ppl: 183.1956416721962	val ppl: 231.04563400400804	best val: 219.16081249111008	time (s) spent in epoch: 55.22787547111511
epoch: 19	train ppl: 177.98330815362476	val ppl: 261.51194236009974	best val: 219.16081249111008	time (s) spent in epoch: 54.885536909103394
epoch: 20	train ppl: 159.93633899015128	val ppl: 218.22473044549062	best val: 218.22473044549062	time (s) spent in epoch: 55.87674927711487
epoch: 21	train ppl: 150.34766985329088	val ppl: 183.81023684954067	best val: 183.81023684954067	time (s) spent in epoch: 54.90481233596802
epoch: 22	train ppl: 141.87934553582107	val ppl: 219.11096321263742	best val: 183.81023684954067	time (s) spent in epoch: 54.94828915596008
epoch: 23	train ppl: 134.2534447635788	val ppl: 187.76534981007399	best val: 183.81023684954067	time (s) spent in epoch: 55.201643228530884
epoch: 24	train ppl: 126.29190442904758	val ppl: 207.06443297267373	best val: 183.81023684954067	time (s) spent in epoch: 55.23546051979065
epoch: 25	train ppl: 119.93848391683677	val ppl: 199.51852320666262	best val: 183.81023684954067	time (s) spent in epoch: 55.02508473396301
epoch: 26	train ppl: 114.38324836777146	val ppl: 306.63541231877474	best val: 183.81023684954067	time (s) spent in epoch: 55.33473587036133
epoch: 27	train ppl: 108.7753116567121	val ppl: 208.45369105455904	best val: 183.81023684954067	time (s) spent in epoch: 54.98421907424927
epoch: 28	train ppl: 102.02411666660002	val ppl: 193.58977881446538	best val: 183.81023684954067	time (s) spent in epoch: 54.98081159591675
epoch: 29	train ppl: 97.63539872975961	val ppl: 196.58037187882206	best val: 183.81023684954067	time (s) spent in epoch: 54.64606308937073
epoch: 30	train ppl: 91.65239126615074	val ppl: 197.47287407953763	best val: 183.81023684954067	time (s) spent in epoch: 54.80264949798584
epoch: 31	train ppl: 88.11744650976901	val ppl: 210.39008391210595	best val: 183.81023684954067	time (s) spent in epoch: 55.029592752456665
epoch: 32	train ppl: 84.1085273889836	val ppl: 187.9268985220582	best val: 183.81023684954067	time (s) spent in epoch: 54.963443994522095
epoch: 33	train ppl: 80.59722498160204	val ppl: 193.08016243217241	best val: 183.81023684954067	time (s) spent in epoch: 55.12889099121094
epoch: 34	train ppl: 76.0778400382692	val ppl: 183.82284757351312	best val: 183.81023684954067	time (s) spent in epoch: 54.705090284347534
epoch: 35	train ppl: 72.33974148154009	val ppl: 190.02153870294947	best val: 183.81023684954067	time (s) spent in epoch: 54.40793752670288
epoch: 36	train ppl: 69.16976769330888	val ppl: 211.00966020819246	best val: 183.81023684954067	time (s) spent in epoch: 54.36685037612915
epoch: 37	train ppl: 65.79979134166268	val ppl: 193.1546193520518	best val: 183.81023684954067	time (s) spent in epoch: 54.78173232078552
epoch: 38	train ppl: 63.52550037127487	val ppl: 201.63027013981178	best val: 183.81023684954067	time (s) spent in epoch: 54.808842182159424
epoch: 39	train ppl: 59.65702455932919	val ppl: 173.3868675944194	best val: 173.3868675944194	time (s) spent in epoch: 54.81927132606506
