epoch: 0	train ppl: 14097623.758493148	val ppl: 880899.2416328616	best val: 880899.2416328616	time (s) spent in epoch: 90.54625988006592
epoch: 1	train ppl: 21819.38270747827	val ppl: 1468.356059953808	best val: 1468.356059953808	time (s) spent in epoch: 90.4498701095581
epoch: 2	train ppl: 2086.0200494947044	val ppl: 1636.6374634568706	best val: 1468.356059953808	time (s) spent in epoch: 90.18575310707092
epoch: 3	train ppl: 875.4540898467355	val ppl: 745.7364276381604	best val: 745.7364276381604	time (s) spent in epoch: 90.94625616073608
epoch: 4	train ppl: 629.4754305575176	val ppl: 566.1302372862823	best val: 566.1302372862823	time (s) spent in epoch: 90.89528036117554
epoch: 5	train ppl: 456.65325720671893	val ppl: 442.16280110246527	best val: 442.16280110246527	time (s) spent in epoch: 90.82575821876526
epoch: 6	train ppl: 386.13306926808167	val ppl: 352.6181911881906	best val: 352.6181911881906	time (s) spent in epoch: 90.82475900650024
epoch: 7	train ppl: 334.1556500143854	val ppl: 350.15215924551984	best val: 350.15215924551984	time (s) spent in epoch: 91.17697501182556
epoch: 8	train ppl: 292.7254396413198	val ppl: 314.02000801237637	best val: 314.02000801237637	time (s) spent in epoch: 90.91422963142395
epoch: 9	train ppl: 248.613050788579	val ppl: 323.70798879931266	best val: 314.02000801237637	time (s) spent in epoch: 90.17879343032837
epoch: 10	train ppl: 217.1367550683735	val ppl: 253.49851928268714	best val: 253.49851928268714	time (s) spent in epoch: 90.77148938179016
epoch: 11	train ppl: 186.4192606791418	val ppl: 220.43891876154134	best val: 220.43891876154134	time (s) spent in epoch: 90.80938673019409
epoch: 12	train ppl: 167.28228429214954	val ppl: 202.2681401763287	best val: 202.2681401763287	time (s) spent in epoch: 90.71277379989624
epoch: 13	train ppl: 143.62998104681608	val ppl: 170.8124855054628	best val: 170.8124855054628	time (s) spent in epoch: 91.12854814529419
epoch: 14	train ppl: 127.20580483741387	val ppl: 189.73995252767926	best val: 170.8124855054628	time (s) spent in epoch: 90.28842616081238
epoch: 15	train ppl: 105.29349845375843	val ppl: 166.24853146231922	best val: 166.24853146231922	time (s) spent in epoch: 90.89043593406677
epoch: 16	train ppl: 86.06085666682209	val ppl: 154.14250471977468	best val: 154.14250471977468	time (s) spent in epoch: 91.15848898887634
epoch: 17	train ppl: 71.23353142853969	val ppl: 150.99795645320413	best val: 150.99795645320413	time (s) spent in epoch: 91.12327146530151
epoch: 18	train ppl: 60.951465680038886	val ppl: 153.9796623286227	best val: 150.99795645320413	time (s) spent in epoch: 90.31852412223816
epoch: 19	train ppl: 54.47607620292332	val ppl: 155.50073671158262	best val: 150.99795645320413	time (s) spent in epoch: 90.22431802749634
epoch: 20	train ppl: 50.943356021883396	val ppl: 156.1223906683097	best val: 150.99795645320413	time (s) spent in epoch: 90.41615843772888
epoch: 21	train ppl: 49.227674707931534	val ppl: 155.18922677635177	best val: 150.99795645320413	time (s) spent in epoch: 90.38848066329956
epoch: 22	train ppl: 48.583866937697216	val ppl: 154.39396315360457	best val: 150.99795645320413	time (s) spent in epoch: 90.18386554718018
epoch: 23	train ppl: 48.338615563401355	val ppl: 154.13142026779119	best val: 150.99795645320413	time (s) spent in epoch: 90.56594252586365
epoch: 24	train ppl: 48.27240128976363	val ppl: 154.06675771766425	best val: 150.99795645320413	time (s) spent in epoch: 90.34911823272705
epoch: 25	train ppl: 48.27305619734938	val ppl: 154.05420953024412	best val: 150.99795645320413	time (s) spent in epoch: 90.34610795974731
epoch: 26	train ppl: 48.22717762545581	val ppl: 154.05181754756796	best val: 150.99795645320413	time (s) spent in epoch: 90.31874871253967
epoch: 27	train ppl: 48.23046751622387	val ppl: 154.05161094811962	best val: 150.99795645320413	time (s) spent in epoch: 90.37761330604553
epoch: 28	train ppl: 48.312417386787146	val ppl: 154.0515742193578	best val: 150.99795645320413	time (s) spent in epoch: 90.38316679000854
epoch: 29	train ppl: 48.26232314961371	val ppl: 154.05157881045255	best val: 150.99795645320413	time (s) spent in epoch: 90.35152053833008
epoch: 30	train ppl: 48.187850472546465	val ppl: 154.05158799264245	best val: 150.99795645320413	time (s) spent in epoch: 90.13501834869385
epoch: 31	train ppl: 48.2201477047238	val ppl: 154.05158340154742	best val: 150.99795645320413	time (s) spent in epoch: 90.14589595794678
epoch: 32	train ppl: 48.2679533907664	val ppl: 154.05158340154742	best val: 150.99795645320413	time (s) spent in epoch: 90.37922549247742
epoch: 33	train ppl: 48.24052294671482	val ppl: 154.05158340154742	best val: 150.99795645320413	time (s) spent in epoch: 90.09079098701477
epoch: 34	train ppl: 48.24717829275035	val ppl: 154.05158340154742	best val: 150.99795645320413	time (s) spent in epoch: 90.24046325683594
epoch: 35	train ppl: 48.29474650218289	val ppl: 154.05158340154742	best val: 150.99795645320413	time (s) spent in epoch: 90.23127222061157
epoch: 36	train ppl: 48.21507875733213	val ppl: 154.05158340154742	best val: 150.99795645320413	time (s) spent in epoch: 90.36250829696655
epoch: 37	train ppl: 48.20673867109052	val ppl: 154.05158340154742	best val: 150.99795645320413	time (s) spent in epoch: 90.17758822441101
epoch: 38	train ppl: 48.22506871381935	val ppl: 154.05158340154742	best val: 150.99795645320413	time (s) spent in epoch: 90.32413983345032
epoch: 39	train ppl: 48.242834124150875	val ppl: 154.05158340154742	best val: 150.99795645320413	time (s) spent in epoch: 90.14835143089294
