epoch: 0	train ppl: 479.869257872024	val ppl: 269.01810524275135	best val: 269.01810524275135	time (s) spent in epoch: 148.00641775131226
epoch: 1	train ppl: 244.22095595120717	val ppl: 213.93434205559603	best val: 213.93434205559603	time (s) spent in epoch: 147.64284539222717
epoch: 2	train ppl: 186.56557825159263	val ppl: 169.1573325080015	best val: 169.1573325080015	time (s) spent in epoch: 147.71368527412415
epoch: 3	train ppl: 154.0058439590883	val ppl: 158.73690619132626	best val: 158.73690619132626	time (s) spent in epoch: 147.11331272125244
epoch: 4	train ppl: 132.12618301754415	val ppl: 144.0632764537146	best val: 144.0632764537146	time (s) spent in epoch: 147.28825640678406
epoch: 5	train ppl: 115.9762115429224	val ppl: 135.02249179694545	best val: 135.02249179694545	time (s) spent in epoch: 147.03340220451355
epoch: 6	train ppl: 103.51920824803517	val ppl: 131.97291841277533	best val: 131.97291841277533	time (s) spent in epoch: 146.72319722175598
epoch: 7	train ppl: 93.45395449217041	val ppl: 124.11570782128568	best val: 124.11570782128568	time (s) spent in epoch: 146.71714520454407
epoch: 8	train ppl: 84.8569270990422	val ppl: 121.68069470351689	best val: 121.68069470351689	time (s) spent in epoch: 147.83505773544312
epoch: 9	train ppl: 77.6538135886405	val ppl: 122.0996814058343	best val: 121.68069470351689	time (s) spent in epoch: 146.77630853652954
epoch: 10	train ppl: 71.42511580527567	val ppl: 121.2067271652874	best val: 121.2067271652874	time (s) spent in epoch: 147.47235345840454
epoch: 11	train ppl: 66.1777734555317	val ppl: 122.03909378907643	best val: 121.2067271652874	time (s) spent in epoch: 146.47739171981812
epoch: 12	train ppl: 61.472486998449185	val ppl: 122.5898627767159	best val: 121.2067271652874	time (s) spent in epoch: 146.97012543678284
epoch: 13	train ppl: 57.36078504883549	val ppl: 121.94876050944593	best val: 121.2067271652874	time (s) spent in epoch: 146.04823684692383
epoch: 14	train ppl: 53.726798055488324	val ppl: 122.24547613771003	best val: 121.2067271652874	time (s) spent in epoch: 145.73286986351013
epoch: 15	train ppl: 48.26901745781432	val ppl: 124.02124772736694	best val: 121.2067271652874	time (s) spent in epoch: 146.8805661201477
epoch: 16	train ppl: 41.950970435927005	val ppl: 122.64200494664007	best val: 121.2067271652874	time (s) spent in epoch: 146.59121108055115
epoch: 17	train ppl: 36.693339153095266	val ppl: 124.15455597226314	best val: 121.2067271652874	time (s) spent in epoch: 146.74256682395935
epoch: 18	train ppl: 33.13056299074043	val ppl: 123.11029215712713	best val: 121.2067271652874	time (s) spent in epoch: 145.85735893249512
epoch: 19	train ppl: 31.426167381112176	val ppl: 121.08586914027202	best val: 121.08586914027202	time (s) spent in epoch: 146.5586974620819
epoch: 20	train ppl: 30.8287545728952	val ppl: 118.72686957910472	best val: 118.72686957910472	time (s) spent in epoch: 146.61279606819153
epoch: 21	train ppl: 30.76418316265787	val ppl: 118.16282819089074	best val: 118.16282819089074	time (s) spent in epoch: 146.3383731842041
epoch: 22	train ppl: 30.67589689278423	val ppl: 118.06755009832773	best val: 118.06755009832773	time (s) spent in epoch: 146.00094962120056
epoch: 23	train ppl: 30.70750860131766	val ppl: 117.81573945286152	best val: 117.81573945286152	time (s) spent in epoch: 146.2324287891388
epoch: 24	train ppl: 30.618313961039362	val ppl: 117.7874597027325	best val: 117.7874597027325	time (s) spent in epoch: 146.31059432029724
epoch: 25	train ppl: 30.607103499905737	val ppl: 117.77808472703971	best val: 117.77808472703971	time (s) spent in epoch: 146.89226007461548
epoch: 26	train ppl: 30.63896897260257	val ppl: 117.77622982512908	best val: 117.77622982512908	time (s) spent in epoch: 145.9714000225067
epoch: 27	train ppl: 30.584396915509426	val ppl: 117.7759121199467	best val: 117.7759121199467	time (s) spent in epoch: 146.19353723526
epoch: 28	train ppl: 30.610803736189457	val ppl: 117.7759254913597	best val: 117.7759121199467	time (s) spent in epoch: 145.56525802612305
epoch: 29	train ppl: 30.655708710674066	val ppl: 117.77592442164656	best val: 117.7759121199467	time (s) spent in epoch: 147.04558420181274
epoch: 30	train ppl: 30.60495563336383	val ppl: 117.77592442164656	best val: 117.7759121199467	time (s) spent in epoch: 145.70242619514465
epoch: 31	train ppl: 30.616133739151664	val ppl: 117.77592281707705	best val: 117.7759121199467	time (s) spent in epoch: 145.07679843902588
epoch: 32	train ppl: 30.560919719819807	val ppl: 117.77592174736392	best val: 117.7759121199467	time (s) spent in epoch: 145.92798399925232
epoch: 33	train ppl: 30.621682994030813	val ppl: 117.77592174736392	best val: 117.7759121199467	time (s) spent in epoch: 145.94694876670837
epoch: 34	train ppl: 30.6749846223908	val ppl: 117.77592174736392	best val: 117.7759121199467	time (s) spent in epoch: 145.86818599700928
epoch: 35	train ppl: 30.598978831809514	val ppl: 117.77592174736392	best val: 117.7759121199467	time (s) spent in epoch: 146.4342224597931
epoch: 36	train ppl: 30.590468496044455	val ppl: 117.77592174736392	best val: 117.7759121199467	time (s) spent in epoch: 146.69747734069824
epoch: 37	train ppl: 30.654983525296707	val ppl: 117.77592174736392	best val: 117.7759121199467	time (s) spent in epoch: 145.49144053459167
epoch: 38	train ppl: 30.633322029596044	val ppl: 117.77592174736392	best val: 117.7759121199467	time (s) spent in epoch: 145.76780343055725
epoch: 39	train ppl: 30.60830037983946	val ppl: 117.77592174736392	best val: 117.7759121199467	time (s) spent in epoch: 145.27643704414368
