epoch: 0	train ppl: 103688.16820516899	val ppl: 3630.2124754262077	best val: 3630.2124754262077	time (s) spent in epoch: 37.97711133956909
epoch: 1	train ppl: 3977.0024413082933	val ppl: 978.642486745216	best val: 978.642486745216	time (s) spent in epoch: 37.97297739982605
epoch: 2	train ppl: 1207.6269348723029	val ppl: 931.3348414872809	best val: 931.3348414872809	time (s) spent in epoch: 37.73090982437134
epoch: 3	train ppl: 719.5824674585699	val ppl: 574.0371890967739	best val: 574.0371890967739	time (s) spent in epoch: 37.875727891922
epoch: 4	train ppl: 558.480198768657	val ppl: 481.88445435677085	best val: 481.88445435677085	time (s) spent in epoch: 37.817888021469116
epoch: 5	train ppl: 447.3767632344578	val ppl: 415.9689140253434	best val: 415.9689140253434	time (s) spent in epoch: 37.89901542663574
epoch: 6	train ppl: 376.2835791345602	val ppl: 365.6894949327468	best val: 365.6894949327468	time (s) spent in epoch: 37.74544548988342
epoch: 7	train ppl: 316.0242510313922	val ppl: 335.5776539871573	best val: 335.5776539871573	time (s) spent in epoch: 38.02266979217529
epoch: 8	train ppl: 272.7258898092278	val ppl: 261.03931798069976	best val: 261.03931798069976	time (s) spent in epoch: 37.70939588546753
epoch: 9	train ppl: 240.39065564942422	val ppl: 264.51076821589055	best val: 261.03931798069976	time (s) spent in epoch: 37.791438817977905
epoch: 10	train ppl: 209.71439364403855	val ppl: 216.2817910604022	best val: 216.2817910604022	time (s) spent in epoch: 37.915534257888794
epoch: 11	train ppl: 191.22759296635851	val ppl: 253.49925210367223	best val: 216.2817910604022	time (s) spent in epoch: 37.91214346885681
epoch: 12	train ppl: 172.1595575168874	val ppl: 219.34311061861303	best val: 216.2817910604022	time (s) spent in epoch: 37.64442014694214
epoch: 13	train ppl: 156.1034041555837	val ppl: 222.68703414333157	best val: 216.2817910604022	time (s) spent in epoch: 37.59924101829529
epoch: 14	train ppl: 143.78095884263905	val ppl: 211.5444193163351	best val: 211.5444193163351	time (s) spent in epoch: 37.76678919792175
epoch: 15	train ppl: 115.59413613304628	val ppl: 172.05181426676262	best val: 172.05181426676262	time (s) spent in epoch: 37.64999747276306
epoch: 16	train ppl: 94.75409236494181	val ppl: 158.5566609342921	best val: 158.5566609342921	time (s) spent in epoch: 37.905882358551025
epoch: 17	train ppl: 78.95840316974171	val ppl: 153.77424197845514	best val: 153.77424197845514	time (s) spent in epoch: 37.789608001708984
epoch: 18	train ppl: 68.21547344039331	val ppl: 151.85290069385977	best val: 151.85290069385977	time (s) spent in epoch: 37.865461111068726
epoch: 19	train ppl: 61.78337962639143	val ppl: 153.42279288733462	best val: 151.85290069385977	time (s) spent in epoch: 37.645699977874756
epoch: 20	train ppl: 58.42745632364706	val ppl: 153.9165496490124	best val: 151.85290069385977	time (s) spent in epoch: 37.57984805107117
epoch: 21	train ppl: 56.8068704583278	val ppl: 153.3098744179733	best val: 151.85290069385977	time (s) spent in epoch: 37.52698040008545
epoch: 22	train ppl: 56.07901136766033	val ppl: 152.41608150099918	best val: 151.85290069385977	time (s) spent in epoch: 37.94842767715454
epoch: 23	train ppl: 55.90732306074908	val ppl: 152.08944162990937	best val: 151.85290069385977	time (s) spent in epoch: 37.30139231681824
epoch: 24	train ppl: 55.86195589677821	val ppl: 152.00773140915112	best val: 151.85290069385977	time (s) spent in epoch: 37.91768288612366
epoch: 25	train ppl: 55.79567046449237	val ppl: 151.99010548745412	best val: 151.85290069385977	time (s) spent in epoch: 37.88352108001709
epoch: 26	train ppl: 55.85450754004737	val ppl: 151.9870797059463	best val: 151.85290069385977	time (s) spent in epoch: 37.76035952568054
epoch: 27	train ppl: 55.80536950764933	val ppl: 151.98675357740393	best val: 151.85290069385977	time (s) spent in epoch: 37.737504720687866
epoch: 28	train ppl: 55.83775764197492	val ppl: 151.98672187049962	best val: 151.85290069385977	time (s) spent in epoch: 37.43063545227051
epoch: 29	train ppl: 55.793433145328336	val ppl: 151.98671281138533	best val: 151.85290069385977	time (s) spent in epoch: 37.74600124359131
epoch: 30	train ppl: 55.760485381799	val ppl: 151.98672187049962	best val: 151.85290069385977	time (s) spent in epoch: 37.46763586997986
epoch: 31	train ppl: 55.79910569357738	val ppl: 151.986726400057	best val: 151.85290069385977	time (s) spent in epoch: 37.66393208503723
epoch: 32	train ppl: 55.73411064991781	val ppl: 151.986726400057	best val: 151.85290069385977	time (s) spent in epoch: 37.6166729927063
epoch: 33	train ppl: 55.83982810376731	val ppl: 151.986726400057	best val: 151.85290069385977	time (s) spent in epoch: 37.61777210235596
epoch: 34	train ppl: 55.84297320705067	val ppl: 151.986726400057	best val: 151.85290069385977	time (s) spent in epoch: 37.586771965026855
epoch: 35	train ppl: 55.7730318934465	val ppl: 151.986726400057	best val: 151.85290069385977	time (s) spent in epoch: 37.980199337005615
epoch: 36	train ppl: 55.82459474027818	val ppl: 151.986726400057	best val: 151.85290069385977	time (s) spent in epoch: 37.60936427116394
epoch: 37	train ppl: 55.792281907192645	val ppl: 151.986726400057	best val: 151.85290069385977	time (s) spent in epoch: 37.73409867286682
epoch: 38	train ppl: 55.7821833250145	val ppl: 151.986726400057	best val: 151.85290069385977	time (s) spent in epoch: 37.474727153778076
epoch: 39	train ppl: 55.77769321889284	val ppl: 151.986726400057	best val: 151.85290069385977	time (s) spent in epoch: 37.79529047012329
