model,optimizer,initial_lr,batch_size,seq_len,hidden_size,num_layers,dp_keep_prob,avg_wct,train_val,val_ppl
GRU,ADAM,0.0001,20,35,1500,2,0.35,155.59,73.86,111.49
GRU,SGD,10,20,35,1500,1,0.35,91.78,68.04,103.32
GRU,SGD,10,20,35,1500,2,0.35,145.03,68.79,112.06
GRU,SGD_LR_SCHEDULE,10,20,35,1500,1,0.35,106.58,59.18,95.02
GRU,SGD_LR_SCHEDULE,10,20,35,1500,2,0.35,148.09,65.72,102.38
GRU,SGD_LR_SCHEDULE,10,20,50,1500,2,0.35,147.24,67.91,103.4
GRU,SGD_LR_SCHEDULE,10,20,35,2000,2,0.35,192.55,59.66,104.17
GRU,SGD_LR_SCHEDULE,10,20,35,1500,2,0.5,146.49,30.58,117.78
RNN,ADAM,0.0001,20,35,1500,2,0.5,85.0,108.59,151.47
RNN,ADAM,0.0001,20,35,1500,1,0.35,66.97,114.07,152.8
RNN,ADAM,0.0001,20,50,1500,2,0.35,85.7,126.13,155.0
RNN,ADAM,0.0001,20,35,1500,2,0.35,84.58,121.74,156.41
RNN,ADAM,0.0001,20,35,1000,2,0.35,65.99,132.55,156.41
RNN,SGD,1,20,35,1500,2,0.35,80.79,185.17,170.55
RNN,SGD,0.0001,20,35,1500,2,0.35,80.68,3008.12,2209.92
RNN,SGD_LR_SCHEDULE,1,20,35,512,2,0.35,48.62,230.78,196.19
TRANSFORMER,ADAM,0.001,128,35,512,2,.9,30.13,69.57,136.22
TRANSFORMER,SGD,20,128,35,512,6,.9,61.67,79.57,161.59
TRANSFORMER,SGD,20,128,35,256,6,0.9,54.22,59.66,173.39
TRANSFORMER,SGD_LR_SCHEDULE,20,128,35,256,6,0.9,52.4,81.5,139.71
TRANSFORMER,SGD_LR_SCHEDULE,20,128,35,512,6,0.7,54.12,80.8,141.59
TRANSFORMER,SGD_LR_SCHEDULE,20,128,35,512,8,0.9,69.18,55.43,144.19
TRANSFORMER,SGD_LR_SCHEDULE,20,128,35,512,6,0.9,62.34,65.83,145.42
TRANSFORMER,SGD_LR_SCHEDULE,20,128,50,512,6,0.9,49.8,110.14,175.0
,,,,,,,,,,
